"Obs","doby","male","raceeth","lifetime_earn","slifetime_earn","weight"
"628",1936,0,1,187495.83,1124680.53,2.50983
"629",1936,0,1,187495.83,1124680.53,2.50983
"630",1936,0,4,924701.25,1363060.75,2.50983
"631",1936,0,4,924701.25,1363060.75,2.50983
"632",1936,0,1,1220863.73,2531694.16,2.50983
"633",1936,0,2,443406.72,1576751.65,2.50983
"634",1936,0,1,974374.31,1946864.32,2.50983
"635",1936,0,3,144619.69,1316012.25,2.50983
"636",1936,0,1,1006020.38,388618.55,2.50983
"637",1936,0,1,284377.22,5001088.81,2.50983
"638",1936,0,3,87535.63,1082578.30,2.50983
"639",1936,0,3,87535.63,846494.57,2.50983
"640",1936,0,1,1622630.89,103207.25,2.50983
"641",1936,0,3,206288.31,1239866.52,2.50983
"642",1936,0,1,1217633.51,5581594.86,2.50983
"643",1936,0,1,2049760.32,2073204.66,2.50983
"645",1936,0,1,77828.14,34152.86,2.50983
"648",1936,0,1,766891.49,2265007.45,2.50983
"650",1936,0,1,1022230.37,323896.96,2.50983
"653",1936,0,1,1062162.30,2087017.22,2.50983
"654",1936,0,1,275233.34,1630958.80,2.50983
"655",1936,0,1,950526.19,2293625.19,2.50983
"656",1936,0,1,950526.19,2293625.19,2.50983
"658",1936,0,1,119829.42,202191.65,2.50983
"661",1936,0,1,561789.28,696213.58,2.50983
"662",1936,0,1,561789.28,696213.58,2.50983
"665",1936,0,1,425354.50,2377139.86,2.50983
"667",1936,0,1,1169567.15,1187333.36,2.50983
"668",1936,0,1,1061758.52,1877229.51,2.50983
"670",1936,0,1,1054684.00,0.00,2.50983
"671",1936,0,1,1054684.00,0.00,2.50983
"672",1936,0,2,78652.52,608947.14,2.50983
"673",1936,0,2,78652.52,1346514.28,2.50983
"674",1936,0,1,257088.58,1116941.46,2.50983
"678",1936,0,1,2414035.05,1682760.11,2.50983
"681",1936,0,1,43961.29,1726612.04,2.50983
"683",1936,0,1,779408.60,715746.32,2.50983
"684",1936,0,4,1043167.92,973566.75,2.50983
"685",1936,0,3,592947.45,818768.51,2.50983
"689",1936,0,1,95585.94,1341887.66,2.50983
"690",1936,0,2,340653.73,780140.45,2.50983
"691",1936,0,2,340653.73,780140.45,2.50983
"692",1936,0,2,340653.73,780140.45,2.50983
"695",1936,0,1,589338.69,1387262.18,2.50983
"697",1936,0,1,211638.36,2726247.69,2.50983
"698",1936,0,1,1185070.53,1946855.91,2.50983
"699",1936,0,1,1185070.53,1946855.91,2.50983
"700",1936,0,1,87266.44,1980924.65,2.50983
"701",1936,0,1,42935.02,969857.05,2.50983
"704",1936,0,2,194974.12,3729963.17,2.50983
